Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",1206,3,10u,
"C10, C12, C6, C7, C8, C9",0402,6,100n,
C11,0402,1,1u,
"C13, C14",0603,2,2u2,
"C15, C16",0402,2,12p,
C4,0603,1,10n,
C5,0603,1,4u7,
"D1, D2",D_SOD-123,2,B5819W,
D3,0603,1,RED,
D4,0603,1,BLUE,
F1,1206,1,250mA,
FB1,0805,1,600 @ 100MHz,
J1,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Screw_Terminal_01x02,
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,SWD,
"J3, J4",Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal,2,Conn_01x04,
J5,USB_B_Micro,1,USB_B_Micro,
L1,L_Sunlord_MWSA0518S,1,10u,
L2,0402,1,39n,
Q1,SOT-23,1,AO3401A,
R1,0603,1,100K,
"R10, R11",0402,2,2K2,
R2,0603,1,68K,
R3,0603,1,47K,
R4,0603,1,15K,
R5,0603,1,270,
R6,0603,1,1K,
R7,0402,1,10K,
R8,0402,1,47,
R9,0603,1,1K5,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
U1,SOT-23-6,1,MP2359DJ-LF-Z,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,
U3,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16Mhz,
