Designator,Mid X,Mid Y,Rotation,Layer
C1,147.1,-101.6,0.0,top
C10,121.73,-89.075,0.0,top
C11,116.5,-98.555,90.0,top
C12,117.75,-98.555,90.0,top
C13,129.75,-104.325,0.0,top
C14,133.25,-92.0,90.0,top
C15,114.25,-91.75,0.0,top
C16,114.25,-97.75,180.0,top
C2,139.875,-111.5,0.0,top
C3,139.9,-114.25,0.0,top
C4,142.65,-106.475,90.0,top
C5,118.525,-89.075,180.0,top
C6,117.75,-92.305,90.0,top
C7,122.25,-104.075,180.0,top
C8,130.73,-102.75,0.0,top
C9,131.5,-91.055,90.0,top
D1,152.4,-94.5,0.0,top
D2,140.05,-101.75,0.0,top
D3,146.0,-76.5375,90.0,top
D4,118.75,-103.1125,90.0,top
F1,147.0,-94.5,180.0,top
FB1,145.6,-98.1875,270.0,top
J1,155.5,-100.25,90.0,top
J2,134.75,-76.825,270.0,top
J3,124.625,-76.5,180.0,top
J4,124.625,-116.5,0.0,top
J5,158.45,-87.47,90.0,top
L1,138.4,-106.7,270.0,top
L2,115.0,-100.25,0.0,top
Q1,149.75,-98.0625,270.0,top
R1,148.5,-105.0,270.0,top
R10,125.76,-85.825,180.0,top
R11,123.49,-85.825,0.0,top
R2,150.5,-105.0,90.0,top
R3,148.5,-108.575,90.0,top
R4,150.5,-108.575,270.0,top
R5,152.5,-108.575,90.0,top
R6,144.0,-76.5375,90.0,top
R7,111.75,-87.25,180.0,top
R8,117.2,-95.75,180.0,top
R9,116.75,-103.15,90.0,top
SW1,107.82,-86.5,270.0,top
U1,145.625,-106.5,90.0,top
U2,125.25,-96.5,0.0,top
U3,149.8875,-87.8,180.0,top
Y1,114.15,-94.75,270.0,top
